accel x,accel y,accel z,freefall,colision,Motion,Time_of_use,date,Time
9.80665,-0.8237586,0.196133,False,False,False,0:00:00,2021-11-16,20:58:22.069989
9.7674234,-0.8629851999999999,0.1176798,False,False,False,0:00:00,2021-11-16,20:58:21.000397
9.7674234,-0.8629851999999999,0.1176798,False,False,False,0:00:00,2021-11-16,20:58:19.912196
9.7674234,-0.8629851999999999,0.1176798,False,False,False,0:00:00,2021-11-16,20:58:18.792420
9.7674234,-0.8629851999999999,0.196133,False,False,False,0:00:00,2021-11-16,20:58:17.690731
9.7281968,-0.8629851999999999,0.1569064,False,False,False,0:00:00,2021-11-16,20:58:16.609923
9.7674234,-0.784532,0.1569064,False,False,False,0:00:00,2021-11-16,20:58:15.520348
9.7674234,-0.8237586,0.1176798,False,False,False,0:00:00,2021-11-16,20:58:14.449941
9.7674234,-0.8237586,0.1569064,False,False,False,0:00:00,2021-11-16,20:58:13.393514
9.7674234,-0.8629851999999999,0.1176798,False,False,False,0:00:00,2021-11-16,20:58:12.307439
9.7674234,-0.8237586,0.1176798,False,False,False,0:00:00,2021-11-16,20:58:11.207740
9.80665,-0.9022117999999999,0.1569064,False,False,False,0:00:10.806653,2021-11-16,20:58:10.102060
9.7281968,-0.8629851999999999,0.1176798,False,False,False,0:00:00,2021-11-16,20:58:09.040072
9.7281968,-0.8237586,0.1569064,False,False,False,0:00:00,2021-11-16,20:58:07.970385
9.7674234,-0.8237586,0.1176798,False,False,False,0:00:00,2021-11-16,20:58:06.847061
9.7674234,-0.8237586,0.1176798,False,False,False,0:00:00,2021-11-16,20:58:05.758412
9.7281968,-0.8629851999999999,0.1176798,False,False,False,0:00:00,2021-11-16,20:58:04.699686
9.80665,-0.8237586,0.1176798,False,False,False,0:00:00,2021-11-16,20:58:03.632648
9.80665,-0.784532,0.1176798,False,False,False,0:00:00,2021-11-16,20:58:02.576610
9.6889702,-0.9022117999999999,0.1569064,False,False,False,0:00:00,2021-11-16,20:58:01.467163
9.7674234,-0.8237586,0.1569064,False,False,False,0:00:00,2021-11-16,20:58:00.373538
9.7281968,-0.8237586,0.196133,False,False,False,0:00:00,2021-11-16,20:57:59.309885
